Chr	Start	Gene
chr1	17616961	Ir7k
chr1	17621000	Ir7i
chr1	17701465	Ir7f
chr1	17712901	Ir7b
chr1	17717397	Ir7c
chr1	17719481	Ir7d
chr1	17737954	Ir7g
chr1	17740878	Ir7h
chr1	17747142	Ir7j
chr1	22904875	Ir100b
chr1	22940741	Ir100a
chr1	22953451	Ir100c
chr1	22975936	Ir100d
chr1	37734383	Ir7a
chr1	40415983	Or88
chr1	85989580	Ir8a
chr1	107077226	Ir159
chr1	107110729	Ir158
chr1	107128586	Ir157
chr1	107167384	Ir156
chr1	107234710	Ir155
chr1	113225171	Or91
chr1	113739230	Or93
chr1	113755540	Or92
chr1	115355470	Or70
chr1	120570456	Or11
chr1	129980508	Or41
chr1	162522593	Or66
chr1	187547483	Ir122
chr1	187664261	Ir123
chr1	189281552	Or25
chr1	195832241	Or99
chr1	202169582	Ir101
chr1	202195224	Ir103
chr1	202219705	Ir104
chr1	202328731	Ir102
chr1	225044655	Or74
chr1	225068768	Or58
chr1	225076568	Or73
chr1	225799572	Or75
chr1	225820340	Or76
chr1	225846222	Or77
chr1	225869893	Or78
chr1	225882692	Or79
chr1	268626692	Or57
chr1	268638349	Or54
chr1	268649632	Or55
chr1	268661728	Or27
chr1	268672873	Or26
chr1	268686713	Or32
chr1	268708662	Or47
chr1	268738435	Or51
chr1	268753032	Or50
chr1	268758169	Or30
chr1	281797012	Or4
chr1	285838613	Ir40a
chr1	291274319	Ir137
chr1	291293398	Ir134
chr1	291311063	Ir135
chr1	291721832	Ir136
chr1	291746404	Or131
chr1	291753475	Or36
chr1	306082129	Ir87a2
chr1	306116184	Ir87a1
chr2	16954876	Ir75i
chr2	16994630	Ir75j
chr2	17051920	Ir75e
chr2	17083349	Ir75f
chr2	17103390	Ir75g
chr2	28567669	Ir109
chr2	28591493	Ir110
chr2	28606100	Ir108
chr2	28676021	Ir107
chr2	29778199	Ir172
chr2	29783885	Ir171
chr2	29787046	Ir170
chr2	29788978	Ir169
chr2	29801113	Ir168
chr2	29803401	Ir167
chr2	30166069	Ir166
chr2	30175185	Ir165
chr2	57600908	Or82
chr2	66491925	Ir75h
chr2	68115891	Or133
chr2	73931506	Ir161
chr2	73946576	Ir160
chr2	79447568	Or106
chr2	80117004	Or107
chr2	80125517	Or108
chr2	80728647	Or103
chr2	83423386	Or122
chr2	83437478	Or121
chr2	83445629	Or120
chr2	90313292	Or125
chr2	94495413	Or130
chr2	94514898	Or117
chr2	94527817	Or116
chr2	136108480	Or132
chr2	168079669	Ir64a
chr2	199640033	Or31
chr2	210150921	Or6
chr2	215763741	Or33
chr2	305001787	Ir75a
chr2	305019583	Ir75b
chr2	305056890	Ir75c
chr2	306619688	Or96
chr2	323938288	Ir21a
chr2	329403026	Or15
chr2	329416622	Or14
chr2	329477465	Or3
chr2	336027245	Or128
chr2	355634850	Or105
chr2	355654599	Or104
chr2	356243624	Or127
chr2	370854248	Ir126
chr2	370860140	Ir127
chr2	374037929	Ir31a1
chr2	374061613	Ir31a2
chr2	388636437	Or95
chr2	408849373	Or63
chr2	408861383	Or64
chr2	408892441	Or45
chr2	409279642	Or42
chr2	411389555	Or69
chr2	411404566	Or68
chr2	419299677	Or61
chr2	419318757	Or60
chr2	444452412	Ir68a
chr2	445156086	Ir120
chr2	445232274	Ir121
chr2	445836047	Ir119
chr2	448699296	Or49
chr2	448732098	Or71
chr2	448834739	Or29
chr2	449746053	Or48
chr2	471384857	Or9
chr2	471521676	Or2
chr2	471791974	Or10
chr3	7373341	Ir111
chr3	7398004	Ir113
chr3	7425763	Ir114
chr3	7434622	Ir115
chr3	7515796	Ir116
chr3	7846525	Ir117
chr3	16479226	Ir112
chr3	36013551	Ir125
chr3	36059050	Ir124
chr3	36088326	Or62
chr3	37721540	Ir151
chr3	37729621	Ir152
chr3	37742418	Ir153
chr3	37766322	Ir154
chr3	41718276	Or13
chr3	47518918	Or59
chr3	53451885	Or8
chr3	59456492	Or94
chr3	59606621	Or38
chr3	78280601	Or123
chr3	81489444	Or37
chr3	81496983	Or34
chr3	84232957	Ir75l
chr3	84259678	Ir75k
chr3	87129161	Ir131
chr3	87150550	Ir132
chr3	87229592	Ir133
chr3	87274190	Ir145
chr3	87282706	Ir146
chr3	87289504	Ir144
chr3	87338545	Ir142
chr3	87358207	Ir143
chr3	87370921	Ir138
chr3	87865832	Ir128
chr3	87952137	Ir129
chr3	87977138	Ir130
chr3	87980108	Ir139
chr3	88016767	Ir140
chr3	88040778	Ir141
chr3	95272431	Ir150
chr3	95280953	Ir149
chr3	95285970	Ir148
chr3	95671780	Ir162
chr3	95689977	Ir163
chr3	95704668	Ir164
chr3	97338439	Or28
chr3	103056210	Ir41m
chr3	103068353	Ir41l
chr3	103107063	Ir41e
chr3	103136649	Ir41f
chr3	103164811	Ir41d
chr3	103185748	Ir41c
chr3	103222749	Ir41o
chr3	103280402	Ir41a
chr3	103318289	Ir41b
chr3	103346397	Ir41h
chr3	103357066	Ir41i
chr3	103368280	Ir41g
chr3	103389784	Ir41k
chr3	103428235	Ir41j
chr3	103473040	Ir41n
chr3	114351121	Or40
chr3	114437045	Ir118
chr3	114494717	Orco
chr3	115917173	Or84
chr3	115933696	Or85
chr3	116055984	Or81
chr3	116069343	Or80
chr3	116172147	Or67
chr3	133665955	Ir105
chr3	133676096	Ir106
chr3	139453761	Or119
chr3	139460320	Or118
chr3	139914134	Or97
chr3	153876215	Or90
chr3	153888160	Or89
chr3	155773599	Ir75d
chr3	186287170	Ir7e
chr3	186335703	Ir7l
chr3	186355049	Ir7q
chr3	186366245	Ir7r
chr3	186416637	Ir7m
chr3	186439316	Ir7n
chr3	186450096	Ir7p
chr3	186492705	Ir7o
chr3	203135325	Ir25a
chr3	216889173	Or43
chr3	216897148	Or44
chr3	217642634	Or24
chr3	217670309	Or20
chr3	217721641	Or21
chr3	250657514	Ir147
chr3	261733552	Or23
chr3	272950081	Or52
chr3	275014481	Or87
chr3	275218183	Or86
chr3	287818935	Ir41p
chr3	305577229	Or16
chr3	305677099	Or19
chr3	305691537	Or18
chr3	306243905	Or110
chr3	325202109	Ir93a
chr3	326800696	Or101
chr3	338175763	Or22
chr3	340654290	Or111
chr3	340658547	Or113
chr3	340669051	Or112
chr3	344413926	Or114
chr3	344428135	Or115
chr3	348562468	Ir60a
chr3	365206147	Or100
chr3	365489685	Or72
chr3	379217072	Or102
chr3	396626080	Ir76b
